Delay_piperidine,Delay_piperidinium tosylate,Delay_morpholine,Delay_morpholinium tosylate,Delay_p-methoxy,Delay_p-methoxy tosylate,Delay_acetophenone cyclohexane,Delay_acetophenone
145.047,144.749,145.051,145.055,144.918,144.878,144.942,144.749
150.048,149.75,150.051,150.056,149.918,149.876,149.944,149.75
155.048,154.749,155.05,155.056,154.92,154.877,154.943,154.749
160.045,159.75,160.049,160.056,159.918,159.876,159.944,159.75
165.044,164.748,165.049,165.054,164.917,164.877,164.943,164.749
170.045,169.75,170.049,170.056,169.916,169.876,169.944,169.75
175.046,174.748,175.048,175.054,174.916,174.876,174.942,174.748
180.045,179.749,180.048,180.055,179.917,179.876,179.942,179.749
185.044,184.748,185.048,185.054,184.916,184.874,184.942,184.748
190.045,189.749,190.048,190.054,189.916,189.874,189.944,189.746
195.044,194.748,195.048,195.056,194.916,194.873,194.94,194.748
200.043,199.748,200.05,200.052,199.916,199.873,199.941,199.745
210.044,209.749,210.05,210.053,209.917,209.874,209.942,209.745
220.045,219.749,220.051,220.054,219.918,219.875,219.942,219.746
230.047,229.75,230.054,230.058,229.918,229.875,229.944,229.748
240.046,239.748,240.053,240.056,239.919,239.874,239.945,239.748
250.048,249.746,250.056,250.057,249.918,249.873,249.94,249.746
260.044,259.748,260.055,260.054,259.92,259.874,259.94,259.746
270.046,269.746,270.057,270.056,269.92,269.874,269.939,269.746
280.048,279.744,280.058,280.058,279.922,279.874,279.939,279.747
290.048,289.744,290.058,290.058,289.922,289.876,289.94,289.75
