Std_1,,Std_2,,Std_3,,Std_4,,Std_5,,Std_6,,Std_7_6_2,,Std_7,,Std_8,,Std_9,,Std_10,,Std_11,,Std_12,,Std_13,,Std_14,,Std_15,,Std_16,,Std_17,,Std_18,,Std_19,,Std_20,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
770.9929199,-0.004052174743,770.9929199,-0.004634400364,770.9929199,-0.004796796013,770.9929199,-0.004198483657,770.9929199,-0.004791675601,770.9929199,-0.004529484082,770.9929199,-0.003610025393,770.9929199,-0.004073254764,770.9929199,-0.003438196378,770.9929199,-0.004699908663,770.9929199,-0.003788098926,770.9929199,-0.003084259108,770.9929199,-0.004422902595,770.9929199,-0.00460894173,770.9929199,-0.004861614667,770.9929199,-0.005047824234,770.9929199,-0.004286614247,770.9929199,-0.004329007119,770.9929199,-0.0009569328977,770.9929199,-0.004682905041,770.9929199,-0.004484958481,
770.0098267,-0.004217403475,770.0098267,-0.003973538522,770.0098267,-0.004684902728,770.0098267,-0.005063892342,770.0098267,-0.005185408518,770.0098267,-0.004334543366,770.0098267,-0.004046994261,770.0098267,-0.00359975663,770.0098267,-0.004325880669,770.0098267,-0.005225923378,770.0098267,-0.003547895467,770.0098267,-0.004106642678,770.0098267,-0.003680462716,770.0098267,-0.003985337447,770.0098267,-0.004353046883,770.0098267,-0.005810461007,770.0098267,-0.003450215328,770.0098267,-0.003425355302,770.0098267,-0.000440459291,770.0098267,-0.004814716987,770.0098267,-0.004001188558,
769.0263672,-0.003950606566,769.0263672,-0.00459178118,769.0263672,-0.005171084311,769.0263672,-0.003723120084,769.0263672,-0.005213441793,769.0263672,-0.004713531584,769.0263672,-0.004627997521,769.0263672,-0.004814460874,769.0263672,-0.005019882694,769.0263672,-0.0051719537,769.0263672,-0.004835452884,769.0263672,-0.002984675113,769.0263672,-0.003914128523,769.0263672,-0.004543983378,769.0263672,-0.004368166905,769.0263672,-0.005336603615,769.0263672,-0.003321328433,769.0263672,-0.004261392169,769.0263672,-0.0007571254973,769.0263672,-0.004872928839,769.0263672,-0.004883730318,
768.0425415,-0.004941677209,768.0425415,-0.005732397549,768.0425415,-0.005168833304,768.0425415,-0.004613705911,768.0425415,-0.00481666252,768.0425415,-0.004968958441,768.0425415,-0.004455802031,768.0425415,-0.00440722052,768.0425415,-0.00492934091,768.0425415,-0.005306174513,768.0425415,-0.004889566451,768.0425415,-0.003606431419,768.0425415,-0.004843286239,768.0425415,-0.003997289576,768.0425415,-0.004775955807,768.0425415,-0.004622926004,768.0425415,-0.00473365793,768.0425415,-0.003701766254,768.0425415,-0.001062405645,768.0425415,-0.004924580455,768.0425415,-0.00539888721,
767.0583496,-0.004165308084,767.0583496,-0.005339109339,767.0583496,-0.006517346017,767.0583496,-0.004790344276,767.0583496,-0.00542660011,767.0583496,-0.005077606533,767.0583496,-0.004662622698,767.0583496,-0.005150210578,767.0583496,-0.005348467734,767.0583496,-0.005604441743,767.0583496,-0.005085077137,767.0583496,-0.004099052399,767.0583496,-0.004000521265,767.0583496,-0.00448957039,767.0583496,-0.004901801236,767.0583496,-0.005387382582,767.0583496,-0.003299697768,767.0583496,-0.003957583569,767.0583496,-0.001607439364,767.0583496,-0.004866734147,767.0583496,-0.004481167067,
765.9331055,-0.004643312655,765.9331055,-0.004653864074,765.9331055,-0.005279374775,765.9331055,-0.004597160034,765.9331055,-0.004966604058,765.9331055,-0.004893713165,765.9331055,-0.004379647784,765.9331055,-0.004894071259,765.9331055,-0.004499049392,765.9331055,-0.005211804993,765.9331055,-0.003889397485,765.9331055,-0.004137822427,765.9331055,-0.004204995465,765.9331055,-0.005347649567,765.9331055,-0.005072335713,765.9331055,-0.005060003605,765.9331055,-0.00409951387,765.9331055,-0.00416294951,765.9331055,-0.001409324468,765.9331055,-0.004898013081,765.9331055,-0.005238046404,
764.9481201,-0.004737140145,764.9481201,-0.005504769273,764.9481201,-0.005321721546,764.9481201,-0.005513766315,764.9481201,-0.005747469608,764.9481201,-0.005853011739,764.9481201,-0.003382874187,764.9481201,-0.006039920263,764.9481201,-0.00461462792,764.9481201,-0.005189603195,764.9481201,-0.005358388647,764.9481201,-0.004171922803,764.9481201,-0.005133480765,764.9481201,-0.004730073269,764.9481201,-0.004131207243,764.9481201,-0.00563561637,764.9481201,-0.004799509887,764.9481201,-0.004082230385,764.9481201,-0.001812836621,764.9481201,-0.005482378416,764.9481201,-0.004686899949,
763.9628296,-0.005768416915,763.9628296,-0.005528795067,763.9628296,-0.00526802009,763.9628296,-0.005886773579,763.9628296,-0.004880761262,763.9628296,-0.00547823729,763.9628296,-0.004897091538,763.9628296,-0.005971089937,763.9628296,-0.004837807734,763.9628296,-0.005064199679,763.9628296,-0.005883913022,763.9628296,-0.003821303369,763.9628296,-0.005283875391,763.9628296,-0.005178962834,763.9628296,-0.005038766656,763.9628296,-0.006210059393,763.9628296,-0.004457493313,763.9628296,-0.004055303521,763.9628296,-0.00154992321,763.9628296,-0.005323409569,763.9628296,-0.004779642448,
762.9771118,-0.005503951572,762.9771118,-0.005906385835,762.9771118,-0.004963481799,762.9771118,-0.004953552037,762.9771118,-0.006180201657,762.9771118,-0.005159828812,762.9771118,-0.005090091843,762.9771118,-0.005250015762,762.9771118,-0.004924580455,762.9771118,-0.004982214887,762.9771118,-0.005611494649,762.9771118,-0.003845114261,762.9771118,-0.00522837881,762.9771118,-0.005854084156,762.9771118,-0.005321517121,762.9771118,-0.006064733025,762.9771118,-0.004377853591,762.9771118,-0.00418633176,762.9771118,-0.002365117194,762.9771118,-0.00525308447,762.9771118,-0.005325505976,
761.9910889,-0.005076224916,761.9910889,-0.00540829543,761.9910889,-0.005495465361,761.9910889,-0.004923761822,761.9910889,-0.00635329634,761.9910889,-0.005834265146,761.9910889,-0.00580550544,761.9910889,-0.004839190282,761.9910889,-0.005452470854,761.9910889,-0.005997898057,761.9910889,-0.005540398415,761.9910889,-0.003669220256,761.9910889,-0.005107590929,761.9910889,-0.005048438441,761.9910889,-0.005132508464,761.9910889,-0.00574430218,761.9910889,-0.005083593074,761.9910889,-0.005285921507,761.9910889,-0.002015560167,761.9910889,-0.004850812256,761.9910889,-0.004987384193,
